symbol,ann_returns,ann_vol,ann_daily_variation,ann_max_drawdown,sharpe_ratio,beta,clusters
CPRT,0.18834765796913153,0.13233267315573924,0.21156840444247652,0.27484346979383645,0.9669762265100594,0.3541140976933096,0
CPT,0.049368166594862456,0.030160528019899074,0.15803101008063022,0.09087219347254219,0.599254647378687,0.16730165113144485,0
CRL,0.09313507104725935,0.1486948677768162,0.2328164959796941,0.17292540360725198,0.6958993659150614,0.5469620103033249,0
CRM,0.12076521080316174,0.16141265156544968,0.24411896417616455,0.18650346067142817,0.7608834904844912,0.5154143852061673,0
CSCO,0.09788253631099311,0.1159900900724293,0.178381496917291,0.18276490923339409,0.6510881401348461,0.5242579423194555,0
CSGP,0.19160123238563884,0.13803322649787317,0.2696856813137163,0.2272112707521944,0.9618585208818313,0.4276223949955506,0
CSX,0.11696393625694448,0.1825491451136009,0.22819830864255272,0.15066955218110048,0.6935661992883041,0.4482385425662952,0
CTAS,0.1253050004767469,0.09404342540735075,0.1674505529861768,0.2132209707405077,0.85889612943267,0.41672319928489526,0
CTLT,0.10416800065940801,0.20912837457538294,0.2866601582230277,0.32913808711545134,0.6673427763189623,0.46568419573589087,0
CTRA,0.03327540785682134,0.20722506766041945,0.31158651649414404,0.4241039773669636,0.2860324841454445,0.3021800675254843,2
CTSH,0.050743537744682765,0.09634470130815928,0.1768419942510006,0.2730239463142311,0.4238848185250383,0.39516002789203775,2
CVS,0.00821774280665899,0.15380124658130798,0.23542069658602235,0.3146513077969014,0.3679172066524605,0.37199146053749915,2
CVX,0.019207548838181765,0.07332715315991833,0.15880406741009204,0.14818279370248735,0.4456125325599895,0.3554483518355883,2
CZR,0.19722562936500268,0.3379773569367135,0.4711155619681441,0.30634225590746844,0.7601134105008616,0.6212169849226237,1
D,0.024837246767255544,0.021118370620244353,0.13746028541009142,0.19464254056971544,0.5084811386359622,0.16329319840601197,2
DAL,0.03662914171476778,0.1443412503453598,0.2435714413269718,0.1875392377760979,0.4786712209909145,0.4337955068720348,2
DAY,0.11140073935548292,0.3311899701850235,0.469238865823709,0.22182257714633144,0.8246021945194799,0.5376130427583887,0
DD,0.03770972381748067,0.17511701197882493,0.23702882882148432,0.37532632341310035,0.2794033107243806,0.47684026901418924,2
DE,0.07742324659440616,0.15258948583247015,0.22206122543662563,0.163829184493852,0.6399931383929904,0.539060675154299,0
DFS,0.03494586195141278,0.10615015630598204,0.19521133942794225,0.2577267215645428,0.4734161791297572,0.5329153623407066,2
DG,0.11622050888663518,0.12809305806994145,0.20846406793820552,0.1111524696284184,0.7559125494412904,0.28664538701063913,0
DGX,0.02925232051754123,0.07739766553391195,0.16135749341638989,0.25095011909605147,0.47221261902220024,0.30870144371030006,2
DHI,0.10082236763111807,0.1624969815710858,0.27914467536252474,0.3271313729323104,0.684095529305241,0.267040631708098,0
DHR,0.09256981331858552,0.06364120375470586,0.14874748237151933,0.05408034048873686,0.8001983111239931,0.4084296604321659,0
DIS,0.047967706968093715,0.0800346664209006,0.15265023187095614,0.08075792240073909,0.5785368050128731,0.3405477653155068,0
DLR,0.04978962135722334,0.09981364988909561,0.2053986403478736,0.14303932256181834,0.5252839799278489,0.21661798515463804,2
DLTR,0.0520959426997728,0.197607676899366,0.25517783151034723,0.2666098471913979,0.45174623486860754,0.29243048047038633,2
DOV,0.09366546036169568,0.09758311900461128,0.19069888085802442,0.1904518843207019,0.7512266539986063,0.485423205021133,0
DPZ,0.08629137332189596,0.17276868878730958,0.27108742868888547,0.19297565718722884,0.6580203256469902,0.27000633848927796,0
DRI,0.085154888854928,0.12561593003901542,0.20207620250068484,0.11246769712583424,0.6346604563437916,0.2882303009420272,0
DTE,0.0481417558185874,0.007425101319437438,0.1304918969060734,0.09581642469093654,0.6588898253951465,0.1446245404151829,0
DUK,0.04098935133132561,0.0,0.12662729812951806,0.10900198250586293,0.5946570909060406,0.1365499884635618,0
DVA,0.02385065544680076,0.21788459922180012,0.25219288066873413,0.4305822387834145,0.43293720056616,0.39289275783832295,2
DVN,0.004760636453386147,0.30902798711287804,0.3896609114725804,0.5799329772605837,0.21233748861501756,0.6836313841207069,1
DXCM,0.2232848889782025,0.4794039036871569,0.44139079376065204,0.4567643522754914,0.7233840877069961,0.4594701802156538,1
EA,0.08254099792216485,0.2279386880117242,0.2995847908515695,0.47812912671615804,0.4938024446601772,0.49257102880659226,1
EBAY,0.05378047241683939,0.14463036566626356,0.21522293434945208,0.4033623302007595,0.4638084603750088,0.4264640027788037,2
